{{}, {1/2, 5/4}, $Aborted}
{{}, {2/3, 2/5}, $Aborted}
{{}, {1/2, 4/5}, $Aborted}
{{}, {-3/5, 2/5}, 5/3}
{{}, {5/3, 0}, (-9 + Sqrt[3]*Pi + 9*Log[3])/10}
{{}, {-3/2, -2/3}, (7 - Sqrt[3]*Pi - 12*Log[2] + 9*Log[3])/5}
{{}, {-1/3, 1/5}, $Aborted}
{{}, {5/4, 3/2}, $Aborted}
{{}, {1/2, 5/3}, (-9 + Sqrt[3]*Pi - 12*Log[2] + 9*Log[3])/7}
{{}, {-1, 0}, 1}
{{}, {1/3, 3/5}, $Aborted}
{{}, {3/4, -2/5}, $Aborted}
{{}, {-5/3, 5/3}, (9 + 5*Sqrt[3]*Pi)/50}
{{}, {-5/2, 4/5}, $Aborted}
{{}, {2/3, -3/5}, $Aborted}
{{}, {-1/4, -4/5}, $Aborted}
{{}, {-1, 4/3}, (-12 - Sqrt[3]*Pi + 9*Log[3])/14}
{{}, {3/5, 1/3}, $Aborted}
{{}, {1/2, -1/3}, (18 - Sqrt[3]*Pi - 9*Log[3] + 3*Log[16])/5}
{{}, {-5/3, 3/4}, (2*(63 + 15*Pi + 5*Sqrt[3]*Pi - 45*Log[3] + 30*Log[8]))/145}
{{}, {3/2, -5/3}, (3 + 5*Sqrt[3]*Pi + 60*Log[2] - 45*Log[3])/95}
{{}, {1/4, 0}, -2*(Pi - 2*Log[8])}
{{}, {-1/2, 1/5}, $Aborted}
{{}, {-1/5, 1/4}, $Aborted}
{{}, {1/3, 4/3}, -3}
{{}, {3/5, -5/3}, $Aborted}
{{}, {2/5, -1/5}, $Aborted}
{{}, {-2/5, 2/5}, (25 - 2*Sqrt[5*(5 - 2*Sqrt[5])]*Pi)/8}
{{}, {1/3, 1/3}, PolyGamma[1, 2/3]}
{{}, {3/2, -1/2}, 0}
{{}, {-1/3, -1/3}, PolyGamma[1, 4/3]}
{{}, {2/3, 0}, (Sqrt[3]*Pi + 9*Log[3])/4}
{{}, {3/2, 1/2}, -2}
{{}, {-1/2, -3/5}, $Aborted}
{{}, {1/2, 0}, Log[16]}
{{}, {-1/5, 1/2}, $Aborted}
{{}, {-1, 1/5}, $Aborted}
{{}, {1/3, -4}, (25 - 2*Sqrt[3]*Pi + 18*Log[3])/52}
{{}, {5/3, -5/3}, (9 + 5*Sqrt[3]*Pi)/50}
{{}, {5/2, -3/5}, $Aborted}
{{}, {1/4, 3/2}, (2*(-4 + Pi - 2*Log[2]))/5}
{{}, {-3/4, -1/3}, (2*(-10 + 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/5}
{{}, {-3/2, -5/2}, 2/5}
{{}, {2/3, 2/3}, PolyGamma[1, 1/3]}
{{}, {5/2, -5}, (-23 + 120*Log[2])/450}
{{}, {-4, -3}, 1/4}
{{}, {5/2, -1/2}, -2/9}
{{}, {-1/3, -2}, (-9 + Sqrt[3]*Pi + 9*Log[3])/10}
{{}, {-3/5, -4/5}, $Aborted}
{{}, {-3/2, -1/3}, (-2 + Sqrt[3]*Pi - 12*Log[2] + 9*Log[3])/7}
{{}, {-1/3, 3/2}, (6 - Sqrt[3]*Pi - 9*Log[3] + Log[4096])/11}
{{}, {-5/4, 0}, (-2*(-48 + 5*Pi + 10*Log[8]))/25}
{{}, {1/2, 2/5}, $Aborted}
{{}, {3/4, -3/2}, (2*(16 + 3*Pi + Log[64]))/27}
{{}, {-3/4, -1/3}, (2*(-10 + 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/5}
{{}, {-5/2, -4/3}, (-41 + 10*Sqrt[3]*Pi - 120*Log[2] + 90*Log[3])/70}
{{}, {-5, 5/2}, (-23 + 120*Log[2])/450}
{{}, {-3/4, -5}, (19 - 10*Pi + 20*Log[8])/85}
{{}, {3/2, -5}, (17 + 120*Log[2])/390}
{{}, {-5/2, 2/5}, $Aborted}
{{}, {-3, -5/4}, (2*(-89 + 15*Pi + 30*Log[8]))/105}
{{}, {-5/2, -4/5}, $Aborted}
{{}, {-2/5, 4/5}, $Aborted}
{{}, {-1/5, 4/5}, 5}
{{}, {1/4, 1/4}, -8*Catalan + Pi^2}
{{}, {-3/2, -1}, (-2*(-5 + 3*Log[4]))/3}
{{}, {-3/2, 1/3}, (16 - Sqrt[3]*Pi - 12*Log[2] + 9*Log[3])/11}
{{}, {2/5, -4/5}, $Aborted}
{{}, {-1/4, 4/5}, $Aborted}
{{}, {0, -4}, 25/48}
{{}, {2/3, 5/4}, (-2*(24 + 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/7}
{{}, {-5/3, 3/2}, (3 + 5*Sqrt[3]*Pi + 60*Log[2] - 45*Log[3])/95}
{{}, {1/4, -2/5}, $Aborted}
{{}, {-1/5, -3/2}, $Aborted}
{{}, {-4, 3/4}, (25 + 6*Pi + 12*Log[8])/57}
{{}, {1/4, -3/2}, (-2*(-16 + 3*Pi - 2*Log[8]))/21}
{{}, {-1/4, -3/4}, (2*(-8 + 3*Pi))/3}
{{}, {-5/3, 1/5}, $Aborted}
{{}, {-4/3, -5}, (-44 + 5*Sqrt[3]*Pi + 45*Log[3])/110}
{{}, {-4/5, 2/3}, $Aborted}
{{}, {1/2, -2/5}, $Aborted}
{{}, {-4/5, -1/4}, $Aborted}
{{}, {2/5, -5/4}, $Aborted}
{{}, {-4/5, 1/5}, 5/4}
{{}, {-1/2, -5/3}, (3 + 5*Sqrt[3]*Pi + 60*Log[2] - 45*Log[3])/35}
{{}, {5/4, 5/3}, (2*(15 + 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/5}
{{}, {3/4, 2/3}, -2*(-3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8])}
{{}, {-5/2, -1/2}, 8/15}
{{}, {-2, 2/3}, (9 + Sqrt[3]*Pi + 9*Log[3])/16}
{{}, {-4, 0}, 25/48}
{{}, {-2/3, 1/2}, (9 + Sqrt[3]*Pi - 9*Log[3] + Log[4096])/7}
{{}, {-2/5, -4/5}, $Aborted}
{{}, {3/2, 1/3}, (-12 + Sqrt[3]*Pi - 3*Log[27/16])/7}
{{}, {3/2, 5/2}, -2/3}
{{}, {-3, 3/4}, (2*(11 + 3*Pi + 6*Log[8]))/45}
{{}, {-1/4, 3/5}, $Aborted}
{{}, {-2/3, 3/5}, $Aborted}
{{}, {-3/5, -3/2}, $Aborted}
{{}, {1/5, 5/2}, $Aborted}
{{}, {-5/3, -1/5}, $Aborted}
{{}, {2/5, -5/3}, $Aborted}
{{}, {-3/2, 2/5}, $Aborted}
{{}, {-2, 5/4}, (-2*(5 + Pi - 2*Log[8]))/13}
{{}, {1/4, 1/5}, $Aborted}
{{}, {5/2, 1/5}, $Aborted}
{{}, {-3/5, -5/2}, $Aborted}
{{}, {-1/4, -5}, (-103 + 30*Pi + 60*Log[8])/285}
{{}, {5/3, 1/4}, (2*(-9 + 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/17}
{{}, {-5/2, -5}, (-47 + 120*Log[2])/150}
{{}, {4/3, 1/2}, (-18 - Sqrt[3]*Pi + 3*Log[27/16])/5}
{{}, {-2/5, -2/5}, PolyGamma[1, 7/5]}
{{}, {3/5, 5/4}, $Aborted}
{{}, {-1/2, -4/3}, (21 - 2*Sqrt[3]*Pi - 18*Log[3] + 3*Log[256])/10}
{{}, {2/3, -1/4}, (2*(24 - 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/11}
{{}, {3/5, -2}, $Aborted}
