{{}, {4/3, -1/5}, $Aborted}
{{}, {3/2, 3/4}, (-2*(4 + Pi + Log[4]))/3}
{{}, {1/3, -4}, (25 - 2*Sqrt[3]*Pi + 18*Log[3])/52}
{{}, {-2, -2/5}, $Aborted}
{{}, {5/3, -3/4}, (2*(-1 + 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/29}
{{}, {-1/5, 5/3}, $Aborted}
{{}, {1/2, -5}, (137 + 120*Log[2])/330}
{{}, {3/5, 4/5}, $Aborted}
{{}, {1/4, 5/2}, (2*(-16 + 3*Pi - 2*Log[8]))/27}
{{}, {-1/4, 3/4}, 4}
{{}, {-2/5, 5/2}, $Aborted}
{{}, {-4/5, -3}, $Aborted}
{{}, {-4, -4}, -205/144 + Pi^2/6}
{{}, {-3, 3/4}, (2*(11 + 3*Pi + 6*Log[8]))/45}
{{}, {1/4, -1/3}, (-2*(-18 + 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/7}
{{}, {3/2, 5/3}, 3 + Sqrt[3]*Pi - 12*Log[2] + 9*Log[3]}
{{}, {-4/3, -2/3}, $Aborted}
{{}, {1/5, 3/5}, $Aborted}
{{}, {3/4, 5/4}, -2*(4 + Pi)}
{{}, {-4/3, -2/5}, $Aborted}
{{}, {4/5, -5/3}, $Aborted}
{{}, {3/4, 2/5}, $Aborted}
{{}, {-3/2, 1/3}, (16 - Sqrt[3]*Pi - 12*Log[2] + 9*Log[3])/11}
{{}, {-2/5, 5/3}, $Aborted}
{{}, {-5/2, 1/2}, 46/45}
{{}, {-2, 3/5}, (5*(6 - Sqrt[2/(5 + Sqrt[5])]*Pi + Sqrt[10/(5 + Sqrt[5])]*Pi + Log[3125] + Sqrt[5]*Log[5 - Sqrt[5]] - Sqrt[5]*Log[5 + Sqrt[5]]))/52}
{{}, {1/4, 4/5}, $Aborted}
{{}, {4/5, -1}, $Aborted}
{{}, {4/3, -4}, (-11 - 2*Sqrt[3]*Pi + 18*Log[3])/64}
{{}, {-1/5, -1/4}, $Aborted}
{{}, {2/5, 5/2}, $Aborted}
{{}, {2/5, -4/5}, $Aborted}
{{}, {-1/2, 0}, $Aborted}
{{}, {-3/4, 1/5}, $Aborted}
{{}, {-5, 1/4}, (137 - 30*Pi + 60*Log[8])/315}
{{}, {-3, 3/4}, (2*(11 + 3*Pi + 6*Log[8]))/45}
{{}, {-1, -2/5}, $Aborted}
{{}, {1/3, -4/5}, $Aborted}
{{}, {0, -5/3}, (63 + 5*Sqrt[3]*Pi - 45*Log[3])/50}
{{}, {1/5, -3/4}, $Aborted}
{{}, {-4/3, -1/5}, $Aborted}
{{}, {3/4, -3}, (2*(11 + 3*Pi + 6*Log[8]))/45}
{{}, {-2/3, -3/5}, $Aborted}
{{}, {-5/2, 4/3}, (2 - 5*Sqrt[3]*Pi - 60*Log[2] + 45*Log[3])/115}
{{}, {-2, -4/3}, (-27 + 2*Sqrt[3]*Pi + 9*Log[9])/8}
{{}, {-3/4, 4/3}, (-2*(10 - 3*Pi + Sqrt[3]*Pi - 9*Log[3] + 6*Log[8]))/25}
{{}, {2/5, -2/5}, (25 - 2*Sqrt[5*(5 - 2*Sqrt[5])]*Pi)/8}
{{}, {3/4, -4}, (25 + 6*Pi + 12*Log[8])/57}
{{}, {-4, 1/3}, $Aborted}
{{}, {0, 5/4}, (-2*(8 + Pi - 2*Log[8]))/5}
{{}, {5/4, -3}, (-2*(13 + 3*Pi - 6*Log[8]))/51}
{{}, {-2/3, -2/5}, $Aborted}
{{}, {3/2, -2}, (-1 + Log[16])/7}
{{}, {-5/2, -5/3}, (29 - 5*Sqrt[3]*Pi - 60*Log[2] + 45*Log[3])/25}
{{}, {5/4, 1/3}, (2*(-24 - 3*Pi + Sqrt[3]*Pi - 9*Log[3] + 6*Log[8]))/11}
{{}, {3/2, 2/5}, $Aborted}
{{}, {5/4, 1/3}, $Aborted}
{{}, {-3/4, -1}, (-2*(2 + 3*Pi - 6*Log[8]))/3}
{{}, {-1/3, -5/4}, (2*(54 - 15*Pi + 5*Sqrt[3]*Pi + 45*Log[3] - 30*Log[8]))/55}
{{}, {-3/2, 1/2}, 4/3}
{{}, {-1/3, 1/4}, (-2*(-18 + 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/7}
{{}, {5/4, 5/4}, 16 - 8*Catalan + Pi^2}
{{}, {-5/2, -1}, (-2*(-31 + 15*Log[4]))/45}
{{}, {-4/5, -1/5}, (-75 + 4*Sqrt[5*(5 + 2*Sqrt[5])]*Pi)/12}
{{}, {3/4, -4/3}, (45 + 6*Pi - 2*Sqrt[3]*Pi - 18*Log[3] + 12*Log[8])/25}
{{}, {-3/5, 3/2}, $Aborted}
{{}, {-1/3, -3/4}, (2*(-10 + 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/5}
{{}, {5/2, -3}, (-5 + 6*Log[4])/33}
{{}, {5/2, -5/3}, (-17 + 5*Sqrt[3]*Pi + 60*Log[2] - 45*Log[3])/125}
{{}, {1/4, -5/3}, (2*(63 - 15*Pi + 5*Sqrt[3]*Pi - 45*Log[3] + 30*Log[8]))/115}
{{}, {-2, -2/5}, $Aborted}
{{}, {-5/3, -3/5}, $Aborted}
{{}, {-1, 2/5}, (-5*(-4 - Sqrt[2/(5 + Sqrt[5])]*Pi + Sqrt[10/(5 + Sqrt[5])]*Pi - Log[3125] - Sqrt[5]*Log[5 - Sqrt[5]] + Sqrt[5]*Log[5 + Sqrt[5]]))/28}
{{}, {3/5, -4}, $Aborted}
{{}, {-3/4, -1}, $Aborted}
{{}, {-2/5, -2/3}, $Aborted}
{{}, {3/5, 3/2}, $Aborted}
{{}, {-1/3, -5/2}, (2 + 5*Sqrt[3]*Pi - 60*Log[2] + 45*Log[3])/65}
{{}, {1/5, -2}, $Aborted}
{{}, {-2/5, -2/5}, PolyGamma[1, 7/5]}
{{}, {3/2, -1/4}, (-2*(-4 + Pi + Log[4]))/7}
{{}, {-5, -4}, 1/5}
{{}, {-3/2, 1/2}, 4/3}
{{}, {-4/5, -3/4}, $Aborted}
{{}, {-5/2, -5}, (-47 + 120*Log[2])/150}
{{}, {0, -5/4}, (-2*(-48 + 5*Pi + 10*Log[8]))/25}
{{}, {2/3, -1/2}, (12 + Sqrt[3]*Pi - 12*Log[2] + 9*Log[3])/7}
{{}, {-1/4, -2}, (2*(-5 + Pi + Log[64]))/7}
{{}, {-5, -5}, -5269/3600 + Pi^2/6}
{{}, {5/4, -2/5}, $Aborted}
{{}, {4/5, -1}, $Aborted}
{{}, {1/2, 1/3}, $Aborted}
{{}, {-5/3, -5/3}, PolyGamma[1, 8/3]}
{{}, {-1/4, -4/3}, (-3 + 6*Pi - 2*Sqrt[3]*Pi - 18*Log[3] + 12*Log[8])/13}
{{}, {4/5, -5/2}, $Aborted}
{{}, {3/4, 3/2}, (-2*(4 + Pi + Log[4]))/3}
{{}, {-5/4, -4}, (-163 + 30*Pi + 60*Log[8])/165}
{{}, {-3/4, 5/4}, -4/3}
{{}, {-1, -5/3}, (33 + 5*Sqrt[3]*Pi - 45*Log[3])/20}
{{}, {1/2, -4/5}, $Aborted}
{{}, {-5, -1/2}, (17 + 120*Log[2])/270}
{{}, {-4/5, -3/5}, $Aborted}
{{}, {3/2, -3}, (-1 + 12*Log[2])/27}
{{}, {4/3, -1/5}, $Aborted}
{{}, {-5/2, -2/3}, (47 - 5*Sqrt[3]*Pi - 60*Log[2] + 45*Log[3])/55}
{{}, {-1/5, 1/4}, $Aborted}
{{}, {-1/5, 1/5}, (25 - Sqrt[5*(5 + 2*Sqrt[5])]*Pi)/2}
{{}, {4/5, -4/3}, $Aborted}
