# Deg numerator, Deg denominator, Number of samples, Total sample space
0,2,917271,1156
0,3,945453,39304
0,4,982726,1336336
0,5,1114544,45435424
0,6,1325453,1544804416
0,7,1531816,52523350144
0,8,1749998,1785793904896
0,9,2617270,60716992766464
0,10,3533632,2064377754059776
1,3,939089,1336336
1,4,992726,45435424
1,5,1091817,1544804416
1,6,1247271,52523350144
1,7,1513634,1785793904896
1,8,1790907,60716992766464
1,9,2409088,2064377754059776
1,10,3547269,70188843638032384
2,4,989089,1544804416
2,5,1074544,52523350144
2,6,1235453,1785793904896
2,7,1483634,60716992766464
2,8,1790907,2064377754059776
2,9,2365452,70188843638032384
2,10,3109996,2386420683693101056
3,5,1098180,1785793904896
3,6,1210907,60716992766464
3,7,1420907,2064377754059776
3,8,1809089,70188843638032384
3,9,2276361,2386420683693101056
3,10,2892724,81138303245565427712
4,6,1209089,2064377754059776
4,7,1409998,70188843638032384
4,8,1672725,2386420683693101056
4,9,2131816,81138303245565427712
4,10,2977269,2758702310349224804352
5,7,1359998,2386420683693101056
5,8,1549998,81138303245565427712
5,9,1944543,2758702310349224804352
5,10,2694542,93795878551873644396544
6,8,1552725,2758702310349224804352
6,9,1924543,93795878551873644396544
6,10,2421815,3189059870763704010145792
7,9,1798180,3189059870763704010145792
7,10,2322724,108428035605965940639924224
