# Random sampling: Deg numerator: 0, Deg denominator: 2
23,12
19,29
23,25
9,28
30,17
18,26
4,28
13,16
8,22
15,9
4,15
31,19
25,3
11,18
13,0
21,27
24,17
21,15
29,25
10,11
30,3
24,24
17,10
27,5
27,9
9,22
13,9
9,11
23,13
10,0
21,8
13,14
27,3
9,16
4,33
15,23
21,0
13,21
25,9
16,16
20,4
32,18
5,27
25,24
25,4
3,12
15,10
7,29
32,29
26,11
12,24
0,12
18,30
7,12
0,20
9,19
16,3
4,14
16,23
9,21
12,6
23,33
18,6
29,28
7,11
29,6
24,4
8,27
2,17
7,33
15,10
10,25
16,30
14,11
30,29
13,33
26,17
8,14
30,24
11,23
8,27
29,11
33,33
23,4
29,14
11,2
7,0
8,3
6,20
5,10
6,21
0,27
7,15
31,31
17,21
6,31
33,22
23,16
1,7
3,19
19,12
33,16
9,29
11,30
15,33
18,20
11,14
12,25
2,13
28,23
19,12
6,17
17,32
25,13
11,16
12,11
20,0
17,30
3,18
1,9
9,18
20,5
5,2
8,28
33,0
30,19
28,1
26,18
6,31
12,19
16,10
25,15
5,13
11,10
16,9
31,28
21,5
1,4
26,22
26,17
21,30
28,21
20,4
2,12
21,17
7,20
32,14
20,6
12,22
4,4
12,10
14,21
16,25
0,19
5,14
23,17
33,18
19,0
3,13
6,5
1,31
33,16
28,4
11,30
11,19
24,5
15,17
27,10
19,24
22,13
14,2
2,3
19,27
16,2
7,12
1,10
29,15
14,25
1,9
28,5
12,26
13,25
12,24
25,3
29,7
4,19
8,12
0,4
28,25
10,26
8,9
30,26
14,9
19,17
22,29
24,17
4,19
29,7
31,11
27,22
0,17
19,2
14,14
11,0
3,21
11,10
11,33
16,9
29,13
14,15
17,20
3,18
21,2
24,17
23,15
3,27
6,2
25,0
33,33
23,7
21,9
19,4
18,7
20,20
33,23
12,27
22,23
24,26
18,15
19,25
19,32
17,6
11,11
1,2
9,5
20,31
24,30
17,8
23,11
21,33
4,29
24,9
31,15
4,2
27,31
14,1
12,20
16,8
15,19
33,33
2,33
30,3
