# Random sampling: Deg numerator: 0, Deg denominator: 2
19,1
21,2
20,1
24,1
7,0
16,0
3,1
1,0
28,1
14,1
4,3
33,2
5,3
33,2
3,3
7,3
1,3
0,3
4,3
6,3
15,3
13,3
16,3
12,3
16,3
13,3
12,3
13,3
9,3
9,3
23,3
19,3
21,3
21,3
25,3
25,3
23,3
24,3
18,3
23,3
29,3
1,4
1,4
0,4
29,3
32,3
3,4
32,3
28,3
3,4
7,4
5,4
10,4
8,4
4,4
12,4
10,4
5,4
12,4
6,4
14,4
23,4
20,4
20,4
20,4
20,4
17,4
20,4
19,4
17,4
26,4
27,4
24,4
25,4
28,4
30,4
32,4
31,4
30,4
30,4
7,5
4,5
1,5
7,5
3,5
7,5
3,5
4,5
5,5
8,5
12,5
16,5
19,5
11,5
14,5
10,5
13,5
12,5
10,5
16,5
