# Unique sampling: Deg numerator: 0, Deg denominator: 2
3,0
16,0
21,0
31,0
13,1
23,1
0,2
4,2
13,2
31,2
6,3
17,3
26,3
32,3
12,4
18,4
26,4
3,5
15,5
29,5
33,5
11,6
16,6
31,6
3,7
12,7
29,7
0,8
13,8
20,8
0,9
13,9
22,9
29,9
9,10
12,10
28,10
30,10
11,11
16,11
31,11
9,12
13,12
31,12
1,13
9,13
22,13
1,14
5,14
23,14
31,14
8,15
14,15
21,15
3,16
13,16
22,16
32,16
4,17
12,17
28,17
5,18
13,18
23,18
1,19
6,19
15,19
28,19
3,20
12,20
25,20
3,21
9,21
21,21
32,21
7,22
16,22
24,22
3,23
10,23
23,23
30,23
7,24
14,24
24,24
7,25
14,25
28,25
1,26
7,26
24,26
1,27
8,27
18,27
25,27
32,27
17,28
19,28
2,29
8,29
